Sequence,Company,City,Province,Year,record
41,\u6CB3\u5317\u5965\u4F70\u5EB7\u9972\u6599\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
42,\u7EA6\u514B\u9600\u95E8\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
43,\u9E3F\u8FBE\u9600\u95E8\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
44,\u5A01\u514B\u7279\u9600\u95E8\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
45,\u8FB0\u9F99\u673A\u68B0\u5382,\u90A2\u53F0,\u6CB3\u5317,2015,1
46,\u5FD7\u6D77\u53D8\u6027\u6DC0\u7C89\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
47,\u81F4\u8FDC\u53D8\u6027\u6DC0\u7C89\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
48,\u6C38\u529B\u7EBF\u7F06\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
49,\u6C47\u65B0\u6728\u4E1A\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
50,\u96C4\u8FBE\u673A\u68B0\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
51,\u9999\u997D\u997D\u98DF\u54C1\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
52,\u7F8E\u6DA6\u8FBE\u98DF\u54C1\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
53,\u53CC\u559C\u53D8\u6027\u6DC0\u7C89\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
54,\u5B81\u664B\u53BF\u5929\u5A01\u6A61\u5851\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
55,\u5B81\u664B\u53BF\u84DD\u79D1\u5EFA\u6750\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
56,\u6CB3\u5317\u4E3D\u534E\u98DF\u54C1\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
57,\u5B81\u664B\u53BF\u5C0F\u516D\u98DF\u54C1\u5382,\u90A2\u53F0,\u6CB3\u5317,2016,2
58,\u5B81\u664B\u53BF\u8D1D\u5170\u5FB7\u751F\u6001\u7267\u573A,\u90A2\u53F0,\u6CB3\u5317,2015,1
59,\u5B81\u664B\u53BF\u6052\u53D1\u949B\u7C89\u5382,\u90A2\u53F0,\u6CB3\u5317,2015,1
60,\u5B81\u664B\u53BF\u5EFA\u534E\u7CD5\u70B9\u5382,\u90A2\u53F0,\u6CB3\u5317,2015,1
61,\u6CB3\u5317\u5723\u7199\u852C\u83DC\u52A0\u5DE5\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
62,\u5B81\u664B\u53BF\u6676\u8C6A\u5851\u6599\u5236\u54C1\u52A0\u5DE5\u5382,\u90A2\u53F0,\u6CB3\u5317,2015,1
63,\u5B81\u664B\u53BF\u665F\u94ED\u98DF\u54C1\u5382,\u90A2\u53F0,\u6CB3\u5317,2015,1
64,\u5B81\u664B\u53BF\u4E07\u946B\u98DF\u54C1\u5382,\u90A2\u53F0,\u6CB3\u5317,2015,1
65,\u5B81\u664B\u53BF\u66DC\u95FB\u5851\u6599\u5382,\u90A2\u53F0,\u6CB3\u5317,2016,2
66,\u5B81\u664B\u53BF\u5229\u9F99\u98DF\u54C1\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
67,\u90A2\u53F0\u5E02\u6625\u6CE2\u7535\u7F06\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
68,\u5B81\u664B\u53BF\u4E1C\u65B9\u534E\u6CF0\u7535\u7F06\u5236\u9020\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
69,\u90A2\u53F0\u957F\u6C5F\u7535\u7F06\u6709\u9650\u516C\u53F8\u674E\u7F8A\u76C3\u5206\u5382,\u90A2\u53F0,\u6CB3\u5317,2015,1
70,\u6E90\u946B\u7EBF\u7F06\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
71,\u5B81\u664B\u53BF\u51EF\u8FBE\u7EB8\u7BB1\u5382,\u90A2\u53F0,\u6CB3\u5317,2015,1
72,\u5B81\u664B\u53BF\u5B8F\u8FBE\u9488\u7EC7\u5236\u8863\u5382,\u90A2\u53F0,\u6CB3\u5317,2015,1
