Date,Open,High,Low,Close,Adj Close,Volume
2014-10-01,100.589996,100.690002,98.699997,99.18,94.185295,51491300
2014-10-02,99.269997,100.220001,98.040001,99.900002,94.869049,47757800
2014-10-03,99.440002,100.209999,99.040001,99.620003,94.603149,43469600
2014-10-06,99.949997,100.650002,99.41999799999999,99.620003,94.603149,37051200
2014-10-07,99.43,100.120003,98.730003,98.75,93.776962,42094200
2014-10-08,98.760002,101.110001,98.309998,100.800003,95.723709,57404700
2014-10-09,101.540001,102.379997,100.610001,101.019997,95.932625,77376500
2014-10-10,100.690002,102.029999,100.300003,100.730003,95.65724200000001,66331600
2014-10-13,101.33000200000001,101.779999,99.809998,99.809998,94.783585,53583400
2014-10-14,100.389999,100.519997,98.57,98.75,93.776962,63688600
2014-10-15,97.970001,99.150002,95.18,97.540001,92.627899,100933600
2014-10-16,95.550003,97.720001,95.410004,96.260002,91.412361,72154500
2014-10-17,97.5,99.0,96.809998,97.66999799999999,92.751343,68179700
2014-10-20,98.32,99.959999,98.220001,99.760002,94.736099,77517300
2014-10-21,103.019997,103.019997,101.269997,102.470001,97.309608,94623900
2014-10-22,102.839996,104.110001,102.599998,102.989998,97.803436,68263100
2014-10-23,104.08000200000001,105.050003,103.629997,104.83000200000001,99.550781,71074700
2014-10-24,105.18,105.489998,104.529999,105.220001,99.921112,47053900
2014-10-27,104.849998,105.480003,104.699997,105.110001,99.816666,34187700
2014-10-28,105.400002,106.739998,105.349998,106.739998,101.36457800000001,48060900
2014-10-29,106.650002,107.370003,106.360001,107.339996,101.93435699999999,52687900
2014-10-30,106.959999,107.349998,105.900002,106.980003,101.592506,40654800
2014-10-31,108.010002,108.040001,107.209999,108.0,102.561127,44639300
2014-11-03,108.220001,110.300003,108.010002,109.400002,103.890625,52282600
2014-11-04,109.360001,109.489998,107.720001,108.599998,103.13091999999999,41574400
2014-11-05,109.099998,109.300003,108.129997,108.860001,103.37782299999999,37435900
2014-11-06,108.599998,108.790001,107.800003,108.699997,103.673485,34968500
2014-11-07,108.75,109.32,108.550003,109.010002,103.96914699999999,33691500
2014-11-10,109.019997,109.33000200000001,108.66999799999999,108.83000200000001,103.79746999999999,27195500
2014-11-11,108.699997,109.75,108.400002,109.699997,104.627235,27442300
2014-11-12,109.379997,111.43,109.370003,111.25,106.10556799999999,46942400
2014-11-13,111.800003,113.449997,111.599998,112.82,107.602974,59522900
2014-11-14,113.150002,114.190002,111.209999,114.18,108.900093,44063600
2014-11-17,114.269997,117.279999,113.300003,113.989998,108.718864,46746700
2014-11-18,113.940002,115.690002,113.889999,115.470001,110.130417,44224000
2014-11-19,115.440002,115.739998,113.800003,114.66999799999999,109.36743200000001,41869200
2014-11-20,114.910004,116.860001,114.849998,116.309998,110.93158700000001,43395500
2014-11-21,117.510002,117.57,116.029999,116.470001,111.08418300000001,57179300
2014-11-24,116.849998,118.769997,116.620003,118.629997,113.144295,47450800
2014-11-25,119.07,119.75,117.449997,117.599998,112.161926,68840400
2014-11-26,117.940002,119.099998,117.83000200000001,119.0,113.497192,40768300
2014-11-28,119.269997,119.400002,118.050003,118.93,113.43042,24814400
2014-12-01,118.809998,119.25,111.269997,115.07,109.74890900000001,83814000
2014-12-02,113.5,115.75,112.75,114.629997,109.329269,59348900
2014-12-03,115.75,116.349998,115.110001,115.93,110.56916000000001,43063400
2014-12-04,115.769997,117.199997,115.290001,115.489998,110.149506,42044500
2014-12-05,115.989998,116.08000200000001,114.639999,115.0,109.68215900000001,38318900
2014-12-08,114.099998,114.650002,111.620003,112.400002,107.20239299999999,57664900
2014-12-09,110.190002,114.300003,109.349998,114.120003,108.84285700000001,60208000
2014-12-10,114.410004,114.849998,111.540001,111.949997,106.77319299999999,44565300
2014-12-11,112.260002,113.800003,111.339996,111.620003,106.458473,41401700
2014-12-12,110.459999,111.870003,109.58000200000001,109.730003,104.655861,56028100
2014-12-15,110.699997,111.599998,106.349998,108.230003,103.225227,67218100
2014-12-16,106.370003,110.160004,106.260002,106.75,101.813652,60790700
2014-12-17,107.120003,109.839996,106.82,109.410004,104.350655,53411800
2014-12-18,111.870003,112.650002,110.660004,112.650002,107.440826,59006200
2014-12-19,112.260002,113.239998,111.660004,111.779999,106.611053,88429800
2014-12-22,112.160004,113.489998,111.970001,112.940002,107.71741499999999,45167500
